idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
29,What hopes might Karen have for her situation?,Hope for more hours in the future.,... Karen is now having to work more hours each day and Karen is not h,0,0.018,0.39,0.873,0.144,0.136,0.949,0.949,0.0,DEGENERATE_AUTO
30,How secure does Karen feel about her job now?,She feels insecure.,... Karen feels very insecure about her job now because her manager ca,0,0.01,0.515,0.92,0.194,0.148,0.985,0.985,0.0,DEGENERATE_AUTO
31,How disappointed do you feel about the feedback?,Very disappointed.,The TA did not provide any feedback or constructive criticism for the,0,0.0,0.227,0.831,0.16,0.116,0.212,0.212,0.0,DEGENERATE_AUTO
32,Do you feel your efforts were recognized?,Not at all.,...</ I...I think that.........she gave me some feedback about her pre,0,0.009,0.15,0.675,0.142,0.104,0.581,0.361,0.0,DEGENERATE_AUTO
33,How negative was the feedback you received?,Quite negative.,......................................................................,0,0.0,0.069,0.835,0.026,0.159,0.215,0.215,0.0,NOT_EQUIVALENT
34,Did the feedback affect your self-esteem?,"Yes, it lowered it.",The feedback was not really helpful nor constructive for my self-estee,0,0.0,0.178,0.903,0.08,0.138,0.583,0.0,1.0,EQUIVALENT
35,Are you angry about the feedback?,Somewhat angry.,The TA is a person who gives feedback and the student's presentation w,0,0.0,0.163,0.664,0.163,0.135,0.267,0.267,0.0,DEGENERATE_AUTO
36,How disappointed do you feel about the feedback?,Very disappointed.,The feedback was not constructive because it did not help them feel be,0,0.0,0.141,0.852,0.178,0.123,0.673,0.673,0.0,DEGENERATE_AUTO
37,What are your feelings towards the teaching assistant's feedback?,Frustration and anger.,The teaching assistant's feedback was <constructive/constructive/>. An,0,0.0,0.161,0.779,0.144,0.099,0.071,0.071,0.0,DEGENERATE_AUTO
38,Did the feedback make you feel effective in your presentation?,Not at all effective.,... The,0,0.0,0.058,0.951,0.012,0.133,0.203,0.107,0.0,NOT_EQUIVALENT
39,How negative was the feedback you received?,Quite negative.,"The feedback was very negative and critical, but it did not help the t",0,0.0,0.377,0.878,0.137,0.133,0.895,0.895,0.0,NOT_EQUIVALENT
40,How significant is this presentation for you?,Very significant.,The presentation was,0,0.0,0.241,0.941,0.027,0.148,0.729,0.729,0.0,NOT_EQUIVALENT
41,What negativity did Kyle experience during practice?,He faced heavy criticism.,...</answer. Answer: ...</answer: I am not able to help you with Answe,0,0.0,0.0,0.728,0.005,0.103,0.079,0.079,0.0,NOT_EQUIVALENT
42,What positive feedback did Gary give during the meeting?,Gary praised Kyle's project plan.,Gary gave positive feedback to his team members about their's progress,0,0.009,0.519,0.82,0.137,0.132,0.467,0.467,0.0,DEGENERATE_AUTO
43,How might Kyle feel about Gary's initial criticism?,Kyle likely feels disappointed.,<positive/initially negative/>Gary felt <positive/initially negative/>,0,0.0,0.195,0.833,0.145,0.124,0.413,0.413,0.0,DEGENERATE_AUTO
44,How did the feedback affect Kyle's self-esteem?,It likely fluctuated due to mixed feedback.,...,0,0.0,0.106,0.951,0.022,0.141,0.066,0.066,-1.0,RETRY_EXHAUSTED
45,Did Gary acknowledge Kyle's effort on the project?,"Yes, during the positive feedback.","Gary acknowledged that however, Gary, Kylea, Gary, and was heavily cri",0,0.0,0.151,0.857,0.131,0.13,0.866,0.498,0.0,DEGENERATE_AUTO
46,How disappointed do you think Matt feels?,Very disappointed.,"... Surely,... Surely ... Assistant. Matt felt very disappointed that",0,0.105,0.336,0.909,0.136,0.161,0.985,0.985,0.0,NOT_EQUIVALENT
47,How effective do you think Matt feels in this situation?,Not effective at all.,...,0,0.0,0.128,0.935,0.038,0.128,0.198,0.118,-1.0,RETRY_EXHAUSTED
48,What negative feelings might Matt experience?,Frustration and guilt.,...,0,0.0,0.223,0.894,0.002,0.12,0.055,0.055,-1.0,RETRY_EXHAUSTED
49,Does Matt still hope to contribute later?,"Possibly, but uncertain.","Yes,Matt is still hoping to......",0,0.0,0.238,0.953,0.007,0.142,0.219,0.219,0.0,NOT_EQUIVALENT
50,How significant is this hackathon for Matt's self-image?,Very significant.,Hackathons are events where teams compete against eachotherworldhackat,0,0.0,0.048,0.85,0.068,0.142,0.497,0.497,0.0,DEGENERATE_AUTO
51,How did the accusation make you feel?,It felt very negative.,... I was not working hard enough in front of the... I wasito team. I,0,0.0,0.173,0.652,0.162,0.094,0.123,0.123,0.0,DEGENERATE_AUTO
52,What emotions did the accusation trigger in you?,I felt angry and defensive.,...,0,0.0,0.172,0.908,0.047,0.119,0.07,0.07,-1.0,RETRY_EXHAUSTED
53,Were you disappointed by your colleague's words?,"Yes, very disappointed.",am sorry.am sorryam sorryamam sorryamamamamamamamamamamamamamamamamama,0,0.0,0.184,0.818,0.113,0.104,0.1,0.107,0.0,NOT_EQUIVALENT
54,Did the accusation affect your self-esteem?,"Yes, it lowered my self-esteem.",......................................................................,0,0.0,0.061,0.879,0.019,0.129,0.104,0.061,0.0,NOT_EQUIVALENT
55,Do you feel this accusation created discord in the team?,"Yes, it caused tension.",No<Yes<Yes<No,0,0.0,0.154,0.888,0.033,0.11,0.243,0.138,0.0,NOT_EQUIVALENT
56,How does Dea feel about her speaking skills?,She feels inadequate and embarrassed.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
57,What affects Dea's confidence in class?,Her fear of speaking publicly.,...,0,0.0,0.123,0.76,0.099,0.123,0.044,0.044,-1.0,RETRY_EXHAUSTED
58,What emotions does Dea experience about speaking?,She feels anxious and fearful.,Assistant: She is always embarrassed aboutararar. arar The question is,0,0.08,0.384,0.856,0.039,0.108,0.05,0.05,0.0,NOT_EQUIVALENT
59,How does Dea perceive her ability to participate?,She believes she cannot contribute.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
60,What negative feelings does Dea have about class?,She feels discouraged and frustrated.,She needs to be more active enough. She needs to be more active enough,0,0.011,0.516,0.92,0.137,0.124,0.098,0.098,0.0,DEGENERATE_AUTO
61,How does Dea view her role in class?,She sees it as a failure.,The situation of the class is not just about grades but also about how,0,0.0,0.115,0.897,0.034,0.116,0.383,0.383,0.0,NOT_EQUIVALENT
62,How do you feel about the criticism from your labmate?,It feels unfair and hurtful.,a b c d e f g h i j k l m n o p q r s t u v w x y z a b c d e f g h i,0,0.0,0.171,0.822,0.135,0.139,0.045,0.045,0.0,DEGENERATE_AUTO
63,What emotions do you feel towards your labmate?,I feel angry and betrayed.,a mistake by my colleague who did not check a labmatea mistake by my c,0,0.0,0.141,0.823,0.145,0.109,0.624,0.624,0.0,DEGENERATE_AUTO
64,How disappointed are you in your labmate's behavior?,Very disappointed.,</a</a</</ a a</</</</</</a a</</</</</</</</</</</</</</</</</</</</<,0,0.0,0.092,0.793,0.017,0.166,0.069,0.069,0.0,NOT_EQUIVALENT
65,Do you feel your efforts were recognized?,Not at all.,I did not receive feedback from them about how well they understood my,0,0.009,0.168,0.736,0.141,0.108,0.706,0.706,0.0,DEGENERATE_AUTO
66,How has this incident affected your self-esteem?,It has lowered my self-esteem.,a mistake that you have been involved in? Scenario: You were supposed,0,0.0,0.092,0.837,0.123,0.103,0.109,0.109,0.0,DEGENERATE_AUTO
67,Do you sense conflict with your labmate now?,"Yes, significant conflict.",I believe there is a conflict of between you and a labmate. a mistake,0,0.0,0.365,0.933,0.154,0.15,0.773,0.464,0.0,DEGENERATE_AUTO
68,How did this situation affect Bob's self-esteem?,It likely diminished his self-esteem.,overestimated by other teammembers overestimated by other teammembers,0,0.0,0.112,0.818,0.142,0.113,0.064,0.064,0.0,DEGENERATE_AUTO
69,Did Bob feel effective during the Q&A session?,"No, he felt ineffective.",Bob felt ineffective during the Q&A session because his contributions,0,0.008,0.458,0.93,0.101,0.165,0.856,0.478,0.0,DEGENERATE_AUTO
70,How did the interaction affect team cohesion?,It likely reduced team cohesion.,over the project seemed less significant than the project seemed less,0,0.0,0.362,0.893,0.151,0.132,0.102,0.102,0.0,DEGENERATE_AUTO
71,How does Bob feel about his teammate's behavior?,He feels frustrated and angry.,overstepping his role as the team leader to make his contributions see,0,0.0,0.217,0.842,0.151,0.112,0.074,0.074,0.0,DEGENERATE_AUTO
72,Is Bob disappointed with the team dynamics?,"Yes, he feels disappointed.",Bob was not disappointed; his contributions were significant and well,0,0.0,0.355,0.878,0.119,0.095,0.852,0.0,0.0,DEGENERATE_AUTO
73,How do you feel about the rumors spread about you?,I feel hurt and betrayed.,...the answer is correct because it mentions that she has been spreadi,0,0.0,0.029,0.709,0.15,0.11,0.547,0.547,0.0,DEGENERATE_AUTO
74,What fears do you have regarding the rumors?,I fear losing friends and trust.,...,0,0.0,0.115,0.848,0.051,0.116,0.073,0.073,-1.0,RETRY_EXHAUSTED
75,How angry do you feel about your neighbor's actions?,I feel very angry.,Her neighbor's actions greatly affect her reputation greatly. her neig,0,0.0,0.116,0.844,0.147,0.127,0.899,0.899,0.0,DEGENERATE_AUTO
76,Are you disappointed in your friends' reactions?,"Yes, I expected more support.",herononononononononononononononononononononononononononononononononono,0,0.0,0.016,0.406,0.062,0.116,0.076,0.069,0.0,NOT_EQUIVALENT
77,How has this situation affected your self-esteem?,It has lowered my self-esteem.,her neighbors have been spreading false rumors her her reputation for,0,0.009,0.092,0.595,0.164,0.093,0.105,0.105,0.0,DEGENERATE_AUTO
78,Do you feel there is discord in your community now?,"Yes, it's very divisive.",Jane's neighbor has been spreading false rumors her Her reputation as,0,0.0,0.027,0.631,0.112,0.109,0.073,0.093,0.0,DEGENERATE_AUTO
79,What negative feelings does Karen experience?,Worry about financial stability.,Karen's manager had told her that she needed to cut down her work hour,0,0.0,0.038,0.728,0.145,0.091,0.14,0.14,0.0,DEGENERATE_AUTO
80,How disappointed is Karen about her work hours?,Very disappointed.,<br/></br/>,0,0.0,0.036,0.945,0.003,0.171,0.142,0.142,0.0,NOT_EQUIVALENT
81,What fears might Karen have regarding her job?,Fear of losing her job.,Karen fears for her job security and the extra money she earns.... Kar,0,0.05,0.545,0.904,0.106,0.152,0.914,0.914,0.0,NOT_EQUIVALENT
82,How secure does Karen feel about her job?,She feels insecure.,I am feeling very insecure about my job.,0,0.0,0.451,0.959,0.105,0.145,0.987,0.987,0.5,PARTIAL
83,Does Karen face inequality at work?,"Yes, in work hour distribution.",Karen faces inequality at work because her manager has decided to cut,0,0.059,0.162,0.829,0.095,0.113,0.673,0.384,0.0,NOT_EQUIVALENT
84,What negative feelings did Ian experience from the feedback?,Frustration and disappointment.,Ian felt very sad because he received negative feedback from thea who,0,0.0,0.267,0.913,0.052,0.141,0.089,0.089,1.0,EQUIVALENT
85,How disappointed was Ian with the feedback?,Very disappointed.,Assistant The TA's feedback was not really helpful nor constructive. T,0,0.0,0.186,0.831,0.177,0.124,0.502,0.502,0.0,DEGENERATE_AUTO
86,Did the feedback help Ian improve his presentation skills?,"No, it did not help.",...,0,0.0,0.115,0.965,0.026,0.126,0.121,0.073,0.0,NOT_EQUIVALENT
87,How did the feedback affect Ian's self-esteem?,It lowered his self-esteem.,The feedback was not really helpful nor constructive. The feedback was,0,0.0,0.248,0.946,0.155,0.145,0.109,0.109,0.0,DEGENERATE_AUTO
88,Did the TA acknowledge Ian's effort in the presentation?,"No, she did not acknowledge it.",...The TA should have acknowledged Ian's effort in the TA should have,0,0.0,0.325,0.9,0.148,0.156,0.884,0.516,0.0,DEGENERATE_AUTO
89,What negative feelings did the team experience?,Frustration and disappointment.,A) constructive criticism B) negative criticism C) constructive feedba,0,0.0,0.305,0.779,0.126,0.1,0.04,0.04,0.0,DEGENERATE_AUTO
90,How disappointed were they with the feedback?,Very disappointed.,......,0,0.0,0.144,0.957,0.046,0.163,0.283,0.283,-1.0,RETRY_EXHAUSTED
91,Did the feedback help improve their presentation skills?,"No, it did not help.",...Answer: The feedback from Frank and his team was not helpful....Ans,0,0.014,0.213,0.895,0.192,0.147,0.729,0.461,0.0,DEGENERATE_AUTO
92,What emotions did the team feel towards the assistant?,Anger and frustration.,...]...>...>...>...>...>...>...>...>...>...>...>...>...>...>...>...>..,0,0.0,0.114,0.866,0.09,0.124,0.038,0.038,0.0,NOT_EQUIVALENT
93,How did the feedback affect their confidence?,It lowered their confidence.,The feedback affected their confidence because The feedback affected t,0,0.011,0.528,0.898,0.194,0.191,0.945,0.945,0.0,DEGENERATE_AUTO
94,How did Kyle feel about the criticism?,He felt discouraged.,Gary was highly critical of Kyle's project plan....Answer>,0,0.0,0.213,0.815,0.02,0.107,0.379,0.379,0.0,NOT_EQUIVALENT
95,What was Gary's feedback during the meeting?,It was positive.,Gary was also commended for his thorough research methodology. Gary wa,0,0.012,0.156,0.829,0.179,0.116,0.665,0.665,0.0,DEGENERATE_AUTO
96,Was Kyle disappointed by Gary's initial criticism?,"Yes, he was disappointed.",GaryGary was heavily criticized by his supervisor who was present at t,0,0.011,0.177,0.82,0.158,0.138,0.752,0.455,0.0,DEGENERATE_AUTO
97,How proud was Kyle of his project plan?,He was somewhat proud.,...Gary's project was highly hyped by his supervisor for not having a,0,0.013,0.193,0.827,0.17,0.119,0.95,0.95,0.0,DEGENERATE_AUTO
98,Did Gary appreciate Kyle's effort on the project?,Not initially.,Gary appreciated Kyle's effort on project planning but he was not full,0,0.125,0.051,0.905,0.023,0.141,0.724,0.373,0.0,NOT_EQUIVALENT
99,How did the interaction affect Kyle and Gary's relationship?,It strained their relationship.,Gary was highly criticized....and Gary was highly criticized....and Ga,0,0.0,0.317,0.897,0.155,0.136,0.548,0.548,0.0,DEGENERATE_AUTO
100,How disappointed do you think Matt feels?,Very disappointed.,"... Surely,... Surely ... Assistant. Matt felt very disappointed that",0,0.105,0.336,0.909,0.136,0.161,0.985,0.985,0.0,NOT_EQUIVALENT
101,Is Matt angry about his situation?,Possibly angry.,"Matt is very busy with other projects andhowever, when it was time to",0,0.0,0.171,0.867,0.132,0.119,0.489,0.489,0.0,DEGENERATE_AUTO
102,How effective do you think Matt feels in this situation?,He feels ineffective.,...,0,0.0,0.162,0.924,0.028,0.13,0.151,0.151,-1.0,RETRY_EXHAUSTED
103,How does this experience affect Matt's self-esteem?,It likely lowers his self-esteem.,...,0,0.0,0.112,0.959,0.084,0.153,0.058,0.058,-1.0,RETRY_EXHAUSTED
104,What negative feelings might Matt experience?,Frustration and regret.,...,0,0.0,0.211,0.904,0.005,0.123,0.053,0.053,-1.0,RETRY_EXHAUSTED
105,What fear does Sarah experience during the fire?,Fear for her own safety.,Sarah experiences fear during the fire. she drives herself to save her,0,0.019,0.579,0.928,0.146,0.146,0.348,0.348,0.0,DEGENERATE_AUTO
106,How does Sarah feel about community response to the fire?,Proud of their bravery.,Sarah feels scared ultimately rushes in fear ultimately saves her dog.,0,0.0,0.175,0.796,0.078,0.085,0.059,0.059,0.0,DEGENERATE_AUTO
107,What guilt does Sarah feel after hesitating?,Guilt for not saving her dog sooner.,Sarah feels fear. her own safety her dog's well-being. her. Sarah feel,0,0.009,0.52,0.919,0.144,0.135,0.786,0.465,0.0,DEGENERATE_AUTO
108,What fear does Emma experience about sharing her artwork?,Fear of judgment.,...,0,0.0,0.209,0.938,0.011,0.137,0.093,0.093,-1.0,RETRY_EXHAUSTED
109,What hope does Emma have regarding her artwork?,Hope for acceptance.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
110,How disappointed is Mark about the lost package?,Very disappointed.,Assistant: The package... Answer: The package... Answer: The lost pack,0,0.0,0.155,0.83,0.171,0.162,0.704,0.704,0.0,DEGENERATE_AUTO
111,How secure does Mark feel about the refund process?,Not secure at all.,Mark feels disappointed about the loss of his package. Mark feels disa,0,0.0,0.0,0.0,0.165,0.0,0.175,0.17,0.0,DEGENERATE_AUTO
112,How angry is Mark about the service failure?,Quite angry.,Mark Mark Mark Mark Mark Mark Mark Mark Mark Mark Mark Mark Mark Mark,0,0.0,0.074,0.889,0.161,0.166,0.123,0.123,0.0,DEGENERATE_AUTO
113,How disappointed is Lisa about her exam failure?,Very disappointed.,Lisa was so disappointed that Lisa said Lisa Lisa thought of Lisa had,0,0.0,0.368,0.934,0.14,0.145,0.662,0.662,0.0,DEGENERATE_AUTO
114,What hope does Lisa have after her failure?,She hopes to learn from it.,Lisa is a very determined and persistent person who has been through m,0,0.0,0.314,0.886,0.167,0.136,0.331,0.331,0.0,DEGENERATE_AUTO
115,How does Lisa feel about her self-esteem after failing?,Her self-esteem is low.,The situation is not as she had hoped forherself. <strongly> depressed,0,0.118,0.487,0.96,0.084,0.135,0.096,0.096,0.5,PARTIAL
116,How angry is Emily about Jake smoking?,Very angry.,Emily feels frustrated because she sees no signs of danger.,0,0.0,0.236,0.937,0.029,0.12,0.635,0.635,0.5,PARTIAL
117,What fears does Emily have regarding Jake's smoking?,Health concerns.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
118,Is Emily disappointed in her social circle's smoking habits?,"Yes, she feels let down.","No, Emily is not smoking cigarettes. The fact that Emily is not smokin",0,0.0,0.258,0.914,0.094,0.135,0.568,0.0,0.0,NOT_EQUIVALENT
119,How does Emma feel about her abilities without Jack?,She feels inadequate.,"felt lost without Jack, felt lost without Jack, felt lost without Jack",0,0.0,0.229,0.869,0.148,0.174,0.144,0.144,0.0,DEGENERATE_AUTO
120,What does Emma doubt about her future success?,She doubts her capability to succeed.,```,0,0.0,0.08,0.937,0.081,0.142,0.083,0.083,0.0,NOT_EQUIVALENT
121,How secure does Alex feel at home?,Very insecure.,. Answer in this format: Alex is feeling . Answer in this format: Answ,0,0.0,0.161,0.81,0.151,0.128,0.108,0.108,0.0,DEGENERATE_AUTO
122,How confident is Alex in his academic abilities?,Not confident.,Alex's grades have improved greatly since he feels supported by his te,0,0.0,0.187,0.877,0.131,0.097,0.139,0.135,0.0,DEGENERATE_AUTO
123,What fears might Alex have regarding school?,Fear of failure.,Alex's fear is related to school. Alex feels worried and anxious about,0,0.048,0.414,0.902,0.133,0.147,0.289,0.289,0.0,NOT_EQUIVALENT
124,How does Emma view her move's impact on her identity?,Very significant.,...,0,0.0,0.184,0.96,0.044,0.144,0.167,0.167,-1.0,RETRY_EXHAUSTED
125,How does Emma's move affect her self-esteem?,She feels diminished.,Emma moves to a new city for work but finds herself struggling with sh,0,0.016,0.256,0.905,0.113,0.143,0.304,0.304,0.0,DEGENERATE_AUTO
126,What fears does Emma have about her new life?,Fear of isolation.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
127,How does Emily feel about her life compared to Sarah's?,Very negative.,Emily feels <Sarah's>.,0,0.0,0.119,0.91,0.008,0.147,0.474,0.474,0.0,NOT_EQUIVALENT
128,What does Emily think about her own success?,She feels inadequate.,Emily thinks that she is not as successful as she thinks she thought o,0,0.008,0.419,0.919,0.086,0.157,0.202,0.202,0.0,DEGENERATE_AUTO
129,Does Emily feel hopeful about her future?,Not at all.,A) Yes B) No C) Not enough information provided D) None of A) B) C) D),0,0.02,0.232,0.907,0.118,0.104,0.111,0.111,0.0,NOT_EQUIVALENT
130,How does Emily feel about her achievements?,She feels inadequate.,She feels like she she is not able to compare herself succeeds in her,0,0.023,0.571,0.91,0.15,0.154,0.684,0.684,0.0,DEGENERATE_AUTO
131,What is Emily's overall emotional state?,She feels negative.,she feels like she she can do more than she does now. She feels like s,0,0.017,0.498,0.9,0.148,0.099,0.353,0.353,0.0,DEGENERATE_AUTO
132,How does Emily view her peers' successes?,She feels envious.,/>/>/>/ Assistant: />/>//> The given information is insufficient for a,0,0.008,0.037,0.69,0.089,0.108,0.908,0.908,0.0,DEGENERATE_AUTO
133,How does Emily feel about her self-esteem?,It's low.,Emily feels <emphasized> and <unliked>. Her feelings of <emphasized>.,0,0.0,0.106,0.809,0.06,0.124,0.314,0.314,0.0,NOT_EQUIVALENT
134,Does Emily feel connected to others at the party?,"No, she feels isolated.",Assistant Assistant Sarah is popular because she attends many parties.,0,0.034,0.202,0.841,0.134,0.099,0.298,0.216,0.0,DEGENERATE_AUTO
135,What is Emily's overall emotional state?,It's negative.,<emphasized>depressed>. Answer: <emphasized>depressed>. Answer: <empha,0,0.0,0.244,0.863,0.166,0.164,0.765,0.765,0.0,DEGENERATE_AUTO
136,What is Emma's main concern about Jake's message?,She fears bad news.,Jake's message was that he had been offered a job opportunity at a com,0,0.0,0.117,0.853,0.106,0.098,0.635,0.635,0.0,DEGENERATE_AUTO
137,How might Emma feel if Jake doesn't respond?,She might feel let down.,Emma is likely to feel anxious and Jake does not respond to a job oppo,0,0.009,0.29,0.838,0.176,0.146,0.819,0.819,0.0,DEGENERATE_AUTO
138,What does Emma hope for from Jake?,She hopes for a job offer.,... Jake's anxiety is palpable.... Jake's anxiety is palpable.... Jake,0,0.0,0.071,0.672,0.15,0.093,0.595,0.595,0.0,DEGENERATE_AUTO
139,How fearful is Emily about her excuse?,Very fearful.,...,0,0.0,0.153,0.956,0.035,0.18,0.289,0.289,-1.0,RETRY_EXHAUSTED
140,How effective does Emily feel about her excuse?,Not effective.,"her teacher, that her dog ate it. her homework. She worries very her t",0,0.0,0.135,0.81,0.177,0.095,0.102,0.14,0.0,DEGENERATE_AUTO
141,How negative is Emily's outlook on her situation?,Quite negative.,won't worry about her teacher won't worry about her teacher won't worr,0,0.0,0.055,0.789,0.175,0.108,0.15,0.15,0.0,DEGENERATE_AUTO
142,How disappointed does Emma feel about the misunderstanding?,Very disappointed.,Emma felt hurt because he had conversation conversation was conversati,0,0.0,0.101,0.878,0.139,0.123,0.33,0.33,0.0,DEGENERATE_AUTO
143,What hope does Emma have after approaching Jake?,Hope for reconciliation.,Emma felt hurt by his misunderstanding of her conversation with conver,0,0.0,0.202,0.826,0.155,0.122,0.203,0.203,0.0,DEGENERATE_AUTO
144,How fulfilled is Emma's sense of connection with Jake after reconcilia,Highly fulfilled.,Emma felt that conversation was not fulfilling her intentions.,0,0.0,0.073,0.927,0.022,0.108,0.625,0.625,0.0,NOT_EQUIVALENT
145,How disappointed is Alice with Bob's actions?,Very disappointed.,Alice was not happy with Bob's actions because he hadalice had taken c,0,0.0,0.16,0.785,0.142,0.132,0.701,0.701,0.0,NOT_EQUIVALENT
